"""靠泊时间""",BERTHPLANNO,EVESSELNAME,AVESSELNAME,CVESSELNAME,IMO,TERMINALCODES,最大TEU容量,LENGTH,WIDTH,HEIGHT,GROSSWEIGHT,DEADWEIGHT,NETWEIGHT,TEU长（最大贝）,TEU宽（最大列）,层高,舱盖宽度(最大/米),舱盖重量(最大/吨),船舶类型。B-大船 S-驳船
2024-01-01 00:31:21,5830706937007,JR02,JIN RONG 02,金荣02,IMO_DD6632A0,MCT,120.0,49.99,0.0,0.0,1688.0,2400.0,1097,,,5.0,,,S
2024-01-01 01:30:00,5830510266777,YMTT,YM MATURITY,圆明轮,IMO_C18D496E,MCT,6572.0,299.2,40.0,61.1,73675.0,86067.8,40754,,,,,,B
2024-01-01 01:41:29,5830702583720,ZD568,ZHEN DONG 568,振东568,IMO_BCDEAE8C,MCT,120.0,49.99,16.1,4.3,1680.0,2400.0,1092,,,4.0,,,S
2024-01-01 02:10:00,5830537098524,T5D,NIMTOFTE MAERSK,海陆尼姆托夫特,IMO_17A6D767,MCT,2278.0,172.0,32.2,,26255.0,25590.0,8672,,,,,,B
2024-01-01 02:39:22,5830706410932,YZ236,YUE ZHU 236,粤珠236,IMO_E2DDC00D,MCT,120.0,49.99,15.8,,1544.0,2022.0,864,,,5.0,,,S
2024-01-01 04:10:00,5830541147655,STTM,SITC TOKUYAMA,海丰德山,IMO_2FB2AC2E,MCT,1011.0,141.0,24.8,,9967.0,12326.0,4944,,,,,,B
2024-01-01 05:56:01,5830711124614,FY688,FU YUE 688,富粤688,IMO_5938074B,MCT,72.0,49.98,0.0,0.0,1308.0,1971.0,732,,,4.0,,,S
2024-01-01 07:10:00,5830540933247,HFFT,HF FORTUNE,海丰联发,IMO_B342DDC9,MCT,1049.0,142.7,22.6,,9610.0,12500.0,4745,,,,,,B
2024-01-01 08:40:34,5830706891096,ZD198,ZHEN DONG 198,振东198,IMO_39EE2212,MCT,240.0,66.35,0.0,0.0,2955.0,3750.0,1920,,,6.0,,,S
2024-01-01 09:51:43,5830706868198,BSY558,BO SHI YUN 558,博石运558,IMO_86E26209,MCT,240.0,59.99,0.0,0.0,2886.0,3830.0,1875,,,6.0,,,S
