"???""VESSELTYPECODE""",CUSTOMCELL,CUSTOMBAY,CUSTOMSTACK,CUSTOMTIER,TYPEA,ISOCELL,ISOBAY,ISOSTACK,ISOTIER,STARTTIERNO,ALLOWSIZES,BOOLATTR,SIZETYPE,LASTUPDATEMAN,LASTUPDATETIME
AFULN,410918,41,9,18,B,410918,41,9,18,2,"20,40",0,B,LUOLD,2025/9/11 10:32:25
AFULN,410920,41,9,20,B,410920,41,9,20,2,"20,40",0,B,LUOLD,2025/9/11 10:32:25
AFULN,410922,41,9,22,B,410922,41,9,22,2,"20,40",0,B,LUOLD,2025/9/11 10:32:25
AFULN,411002,41,10,2,B,411002,41,10,2,2,"20,40",0,B,LUOLD,2025/9/11 10:32:25
AFULN,411004,41,10,4,B,411004,41,10,4,2,"20,40",0,B,LUOLD,2025/9/11 10:32:25
AFULN,411006,41,10,6,B,411006,41,10,6,2,"20,40",0,B,LUOLD,2025/9/11 10:32:25
AFULN,411008,41,10,8,B,411008,41,10,8,2,"20,40",0,B,LUOLD,2025/9/11 10:32:25
AFULN,411010,41,10,10,B,411010,41,10,10,2,"20,40",0,B,LUOLD,2025/9/11 10:32:25
AFULN,411012,41,10,12,B,411012,41,10,12,2,"20,40",0,B,LUOLD,2025/9/11 10:32:25
AFULN,411014,41,10,14,B,411014,41,10,14,2,"20,40",0,B,LUOLD,2025/9/11 10:32:25
