BERTHPLANNO,INBOUNDVOY,OUTBOUNDVOY,ETA_TIME,ETD_TIME,实际靠泊时间,实际离泊时间,EVESSELNAME,AVESSELNAME,CVESSELNAME,IMO,TERMINALCODES
5831954350951,240813N,240813S,2024-08-14 07:00:00,2024-08-15 04:32:00,2024-08-14 22:33:57,2024-08-15 03:57:12,GX918,GUANG XING 918,广星918,CN20232218515,MCT
5831807569925,002E,003W,2024-08-13 06:00:00,2024-08-14 18:30:00,2024-08-14 06:10:00,2024-08-14 18:30:00,FPCE,CELSIUS ESSEN,司马埃森,UN9969936,MCT
5831960871748,BITT20240814B,BITT20240814B,2024-08-14 14:00:00,2024-08-14 21:31:00,2024-08-14 16:38:20,2024-08-14 22:00:30,DF3029,DA FENG 3029,达峰3029,CN20223880307,MCT
5831961593892,240810N,240810S,2024-08-15 00:00:00,2024-08-15 04:53:00,2024-08-14 20:15:58,2024-08-14 23:21:44,SL188,SI LU 188,丝路188,CN20147662914,MCT
5831825493929,2422SI,2422S,2024-08-13 18:00:00,2024-08-14 16:30:00,2024-08-14 11:10:00,2024-08-14 16:30:00,STLY,SITC LIANYUNGANG,海丰连云港,UN9639634,MCT
5831650303676,2439NI,2439N,2024-08-13 21:00:00,2024-08-14 23:30:00,2024-08-14 12:04:00,2024-08-14 23:50:00,HFLH,HF WEALTH,海丰联富,UN9356799,MCT
5831960144039,240814E,240814,2024-08-14 11:00:00,2024-08-14 18:27:00,2024-08-14 15:40:48,2024-08-14 18:57:54,CX588,CHENG XIANG 588,诚祥588,CN20105694886,MCT
5831989849714,BITT20240819,BITT20240819,2024-08-19 21:00:00,2024-08-21 02:38:00,2024-08-20 19:29:33,2024-08-21 01:34:59,SF2018,SHUN FENG 2018,顺风2018,CN20185104245,MCT
5831971840266,ZE33,ME33,2024-08-18 00:00:00,2024-08-21 10:23:00,2024-08-20 16:50:57,2024-08-21 06:00:00,FJFZ,FEN JIN FANG ZHOU,奋进方舟,CN20190740155,MCT
5831967077426,240816S,240817,2024-08-16 00:00:00,2024-08-20 16:14:00,2024-08-20 13:39:32,2024-08-20 16:43:48,CX328,CHENG XIANG 328,诚祥328,CN20119467015,MCT
