TERMINALCODE,CONTAINERID,CONTAINERNO,CONTAINEROWNER,CONTAINERSIZE,CONTAINERTYPE,EMPTYFULL,GROSSWEIGHT,POD,BL,INAIMNAME,3位贝号+2位列号+2位层号,INTYPE,INTIME,OUTTYPE,集装箱装船时间,EVESSELNAME,OUTBOUNDVOY,OUTVESSELLINECODE,BERTHPLANNO,实际离泊时间
MCT,CID_0D2FE1D5,TLLU88E207B,COS,20,GP,F,26024.0,HKHKG,BL_601B1163,国际中转,70484,G,2024-04-07 20:20:20,B,2024-04-09 03:28:45,COHK,184N,A3S,5831167725981,2024-04-09 04:30:00
MCT,CID_971AAB42,SEGU57D3016,COS,20,GP,F,26064.0,HKHKG,BL_9D3FD24C,国际中转,30182,G,2024-04-07 22:21:32,B,2024-04-09 02:29:28,COHK,184N,A3S,5831167725981,2024-04-09 04:30:00
MCT,CID_3F30D2F9,SEGU599C0DA,COS,20,GP,F,5513.9,HKHKG,BL_5B3D6C4D,国内中转,110484,G,2024-04-08 13:17:40,B,2024-04-09 01:44:38,COHK,184N,A3S,5831167725981,2024-04-09 04:30:00
MCT,CID_FF89CA6B,BSIU68C3904,COS,20,GP,F,4344.6,HKHKG,BL_6975AD21,国内中转,50486,G,2024-04-07 20:46:38,B,2024-04-09 03:34:02,COHK,184N,A3S,5831167725981,2024-04-09 04:30:00
MCT,CID_C42A7642,TLLU6BC257E,COS,20,GP,F,27180.0,HKHKG,BL_5AAF92E1,国际中转,90282,G,2024-04-08 09:21:28,B,2024-04-09 01:50:44,COHK,184N,A3S,5831167725981,2024-04-09 04:30:00
MCT,CID_1FAEADD5,TLLUD33E8F5,COS,20,GP,F,26084.0,HKHKG,BL_601B1163,国际中转,110282,G,2024-04-08 09:19:33,B,2024-04-09 01:50:44,COHK,184N,A3S,5831167725981,2024-04-09 04:30:00
MCT,CID_F9D177DB,FTAUF529CC7,COS,20,GP,F,26204.0,HKHKG,BL_9D3FD24C,国际中转,50484,G,2024-04-07 20:25:04,B,2024-04-09 03:28:44,COHK,184N,A3S,5831167725981,2024-04-09 04:30:00
MCT,CID_9D288FCE,CSNUB9C9F1C,COS,20,GP,F,26249.0,HKHKG,BL_9D3FD24C,国际中转,90482,G,2024-04-08 09:23:30,B,2024-04-09 01:27:35,COHK,184N,A3S,5831167725981,2024-04-09 04:30:00
MCT,CID_E92A3677,TLLU40330AB,COS,20,GP,F,26164.0,HKHKG,BL_9D3FD24C,国际中转,10182,G,2024-04-07 22:51:13,B,2024-04-09 02:29:27,COHK,184N,A3S,5831167725981,2024-04-09 04:30:00
MCT,CID_9DA08121,OOLU462AA04,COS,20,GP,F,25964.0,HKHKG,BL_65958BAA,国际中转,110382,G,2024-04-08 09:53:42,B,2024-04-09 01:41:36,COHK,184N,A3S,5831167725981,2024-04-09 04:30:00
