YARDCELL,YARDLANENO,YARDBAYNO,YARDROWNO,ISUSEFUL,LASTUPDATEMAN,LASTUPDATETIME,TERMINALCODE,DELIVERSEQ,ALIASCELL,YARDTIERNO,HALTTYPE,DELIVERPRI
26I0021601,26I,2,16,Y,ZHENGHB,2026-05-18 14:33:18,MCT,112,26I021601,1,1,D
26I0020802,26I,2,8,Y,ZHENGHB,2026-05-18 14:33:18,MCT,175,26I020802,2,1,D
26I0020803,26I,2,8,Y,ZHENGHB,2026-05-18 14:33:18,MCT,174,26I020803,3,1,D
26I0020804,26I,2,8,Y,ZHENGHB,2026-05-18 14:33:18,MCT,173,26I020804,4,1,D
26I0020805,26I,2,8,Y,ZHENGHB,2026-05-18 14:33:18,MCT,172,26I020805,5,1,D
26I0020806,26I,2,8,Y,ZHENGHB,2026-05-18 14:33:18,MCT,171,26I020806,6,1,D
26I0020807,26I,2,8,Y,ZHENGHB,2026-05-18 14:33:18,MCT,170,26I020807,7,1,D
26I0020808,26I,2,8,N,ZHENGHB,2026-05-18 14:33:18,MCT,169,26I020808,8,1,D
26I0020801,26I,2,8,Y,ZHENGHB,2026-05-18 14:33:18,MCT,176,26I020801,1,1,D
26I0021202,26I,2,12,Y,ZHENGHB,2026-05-18 14:33:18,MCT,143,26I021202,2,1,D
