WORKITEMNO,CONTAINERID,CONTAINERNO,CONTAINERSIZE,CONTAINERTYPE,进场时间,INTYPE,出场时间,OUTTYPE,EMPTYFULL,"R-收箱,D-提箱,U-卸船,L-装船,C-查验,M-移箱,S-翻箱/核场",完成时间(E),作业港区(源港区),原始目的位置,目标作业港区,目标位置,放箱设备,运载设备,压车时的拖车,抓箱(到集卡)设备,进闸时间,出闸时间
5831356100160,CID_B86B7949,TRHU113D35F,40,GP,2024-03-20 10:53:16,B,,G,F,M,2024-05-09 05:02:53,MCT,,MCT,24F0860905,R324,,,R324,,
5832400620092,CID_B86B7949,TRHU113D35F,40,GP,2024-03-20 10:53:16,B,,G,F,M,2024-10-30 23:33:02,MCT,,MCT,24F0961005,R324,,,R324,,
5833297313647,CID_B86B7949,TRHU113D35F,40,GP,2024-03-20 10:53:16,B,,G,F,M,2025-05-08 22:18:52,MCT,,MCT,26F0140504,R230,809,809,R324,,
5834059894308,CID_B86B7949,TRHU113D35F,40,GP,2024-03-20 10:53:16,B,,G,F,M,2025-10-20 21:24:09,MCT,,MCT,26H0860402,R235,036,036,R229,,
5832064352040,CID_FB791F56,TGBU6731623,40,GP,2024-03-25 16:48:05,B,,G,F,M,2024-08-31 16:39:49,MCT,,MCT,24C0740403,R317,,,R317,,
5832098913430,CID_FB791F56,TGBU6731623,40,GP,2024-03-25 16:48:05,B,,G,F,M,2024-09-07 12:23:56,MCT,,MCT,23D0060504,R307,706,706,R318,,
5832405937993,CID_FB791F56,TGBU6731623,40,GP,2024-03-25 16:48:05,B,,G,F,M,2024-11-01 01:05:11,MCT,,MCT,23D0420201,R307,,,R307,,
5832620292070,CID_FB791F56,TGBU6731623,40,GP,2024-03-25 16:48:05,B,,G,F,M,2024-12-15 15:38:25,MCT,,MCT,24E1080603,R322,918,918,R308,,
5832765609755,CID_FB791F56,TGBU6731623,40,GP,2024-03-25 16:48:05,B,,G,F,L,2025-01-16 22:27:40,MCT,,MCT,24E1080802,R322,,,R322,,
5832873738674,CID_FB791F56,TGBU6731623,40,GP,2024-03-25 16:48:05,B,,G,F,M,2025-02-09 11:13:39,MCT,,MCT,24E0820102,R321,,,R321,,
