scenario,config,turnaround_mean,turnaround_std,reshuffle_mean,reshuffle_std,equip_util_mean,equip_util_std,n_runs
常规作业,A,16.369999999999997,0.14181364924121698,7.4,0.0,58.17,0.048304589153966036,10
常规作业,B,15.99,0.12866839377079162,7.4,0.0,58.17,0.048304589153966036,10
常规作业,C,15.459999999999999,0.14298407059684806,6.410000000000001,0.031622776601683646,59.7,0.0,10
常规作业,D,15.89,0.1286683937707915,5.4,0.0,61.4,0.0,10
异常情况,A,17.18,0.1229272594305716,7.4,0.0,58.17,0.048304589153966036,10
异常情况,B,16.8,0.12472191289246387,7.4,0.0,58.17,0.048304589153966036,10
异常情况,C,16.18,0.1229272594305716,6.410000000000001,0.031622776601683646,59.7,0.0,10
异常情况,D,16.259999999999998,0.14298407059684778,5.4,0.0,61.4,0.0,10
高峰压力,A,16.44,0.11737877907772647,7.4,0.0,58.18000000000001,0.042163702135579066,10
高峰压力,B,16.07,0.10593499054713842,7.4,0.0,58.18000000000001,0.042163702135579066,10
高峰压力,C,15.48,0.11352924243950911,6.4,0.0,59.7,0.0,10
高峰压力,D,15.959999999999999,0.10749676997731376,5.4,0.0,61.4,0.0,10
