scenario,indicator,config,mean,improvement,cohens_d
常规作业,船舶在港时间(h),B,16.0,↓2.3%,9.0
常规作业,船舶在港时间(h),C,15.5,↓5.6%,28.8
常规作业,船舶在港时间(h),D,15.9,↓2.9%,11.4
常规作业,堆场翻箱率(%),B,7.4,↓0.0%,—
常规作业,堆场翻箱率(%),C,6.4,↓13.4%,—
常规作业,堆场翻箱率(%),D,5.4,↓27.0%,—
常规作业,设备利用率(%),B,58.2,↑0.0%,—
常规作业,设备利用率(%),C,59.7,↑2.6%,—
常规作业,设备利用率(%),D,61.4,↑5.6%,—
高峰压力,船舶在港时间(h),B,16.1,↓2.3%,7.7
高峰压力,船舶在港时间(h),C,15.5,↓5.8%,18.6
高峰压力,船舶在港时间(h),D,16.0,↓2.9%,11.4
高峰压力,堆场翻箱率(%),B,7.4,↓0.0%,—
高峰压力,堆场翻箱率(%),C,6.4,↓13.5%,—
高峰压力,堆场翻箱率(%),D,5.4,↓27.0%,—
高峰压力,设备利用率(%),B,58.2,↑0.0%,—
高峰压力,设备利用率(%),C,59.7,↑2.6%,—
高峰压力,设备利用率(%),D,61.4,↑5.5%,—
异常情况,船舶在港时间(h),B,16.8,↓2.2%,9.0
异常情况,船舶在港时间(h),C,16.2,↓5.8%,∞
异常情况,船舶在港时间(h),D,16.3,↓5.4%,21.8
异常情况,堆场翻箱率(%),B,7.4,↓0.0%,—
异常情况,堆场翻箱率(%),C,6.4,↓13.4%,—
异常情况,堆场翻箱率(%),D,5.4,↓27.0%,—
异常情况,设备利用率(%),B,58.2,↑0.0%,—
异常情况,设备利用率(%),C,59.7,↑2.6%,—
异常情况,设备利用率(%),D,61.4,↑5.6%,—
