run,seed,scenario,config,n_vessels,total_containers,turnaround_h,reshuffle_pct,equip_util_pct,turnaround_improvement_pct,reshuffle_improvement_pct,equip_util_improvement_pct
0,100,常规作业,A,588,1029387,16.4,7.4,58.2,0.0,0.0,0.0
1,101,常规作业,A,578,1035554,16.6,7.4,58.1,0.0,0.0,0.0
2,102,常规作业,A,588,1026277,16.4,7.4,58.2,0.0,0.0,0.0
3,103,常规作业,A,550,949803,16.3,7.4,58.2,0.0,0.0,0.0
4,104,常规作业,A,582,1016600,16.4,7.4,58.2,0.0,0.0,0.0
5,105,常规作业,A,576,1019479,16.5,7.4,58.1,0.0,0.0,0.0
6,106,常规作业,A,679,1153738,16.2,7.4,58.2,0.0,0.0,0.0
7,107,常规作业,A,621,1082615,16.4,7.4,58.1,0.0,0.0,0.0
8,108,常规作业,A,600,1013335,16.1,7.4,58.2,0.0,0.0,0.0
9,109,常规作业,A,580,1005950,16.4,7.4,58.2,0.0,0.0,0.0
0,100,常规作业,B,588,1029387,16.1,7.4,58.2,1.6,0.0,0.1
1,101,常规作业,B,578,1035554,16.2,7.4,58.1,1.0,0.0,-0.1
2,102,常规作业,B,588,1026277,16.0,7.4,58.2,2.3,0.0,0.1
3,103,常规作业,B,550,949803,15.9,7.4,58.2,2.9,0.0,0.1
4,104,常规作业,B,582,1016600,16.0,7.4,58.2,2.3,0.0,0.1
5,105,常规作业,B,576,1019479,16.1,7.4,58.1,1.6,0.0,-0.1
6,106,常规作业,B,679,1153738,15.8,7.4,58.2,3.5,0.0,0.1
7,107,常规作业,B,621,1082615,16.0,7.4,58.1,2.3,0.0,-0.1
8,108,常规作业,B,600,1013335,15.8,7.4,58.2,3.5,0.0,0.1
9,109,常规作业,B,580,1005950,16.0,7.4,58.2,2.3,0.0,0.1
0,100,常规作业,C,588,1029387,15.5,6.4,59.7,5.3,13.5,2.6
1,101,常规作业,C,578,1035554,15.7,6.4,59.7,4.1,13.5,2.6
2,102,常规作业,C,588,1026277,15.5,6.4,59.7,5.3,13.5,2.6
3,103,常规作业,C,550,949803,15.4,6.4,59.7,5.9,13.5,2.6
4,104,常规作业,C,582,1016600,15.5,6.4,59.7,5.3,13.5,2.6
5,105,常规作业,C,576,1019479,15.6,6.4,59.7,4.7,13.5,2.6
6,106,常规作业,C,679,1153738,15.3,6.4,59.7,6.5,13.5,2.6
7,107,常规作业,C,621,1082615,15.5,6.5,59.7,5.3,12.2,2.6
8,108,常规作业,C,600,1013335,15.2,6.4,59.7,7.1,13.5,2.6
9,109,常规作业,C,580,1005950,15.4,6.4,59.7,5.9,13.5,2.6
0,100,常规作业,D,588,1029387,16.0,5.4,61.4,2.3,27.0,5.6
1,101,常规作业,D,578,1035554,16.1,5.4,61.4,1.6,27.0,5.6
2,102,常规作业,D,588,1026277,15.9,5.4,61.4,2.9,27.0,5.6
3,103,常规作业,D,550,949803,15.8,5.4,61.4,3.5,27.0,5.6
4,104,常规作业,D,582,1016600,15.9,5.4,61.4,2.9,27.0,5.6
5,105,常规作业,D,576,1019479,16.0,5.4,61.4,2.3,27.0,5.6
6,106,常规作业,D,679,1153738,15.7,5.4,61.4,4.1,27.0,5.6
7,107,常规作业,D,621,1082615,15.9,5.4,61.4,2.9,27.0,5.6
8,108,常规作业,D,600,1013335,15.7,5.4,61.4,4.1,27.0,5.6
9,109,常规作业,D,580,1005950,15.9,5.4,61.4,2.9,27.0,5.6
0,100,高峰压力,A,1607,2790805,16.4,7.4,58.2,0.0,0.0,0.0
1,101,高峰压力,A,1563,2707015,16.3,7.4,58.2,0.0,0.0,0.0
2,102,高峰压力,A,1574,2766168,16.5,7.4,58.2,0.0,0.0,0.0
