scenario,config,turnaround_h,reshuffle_pct,equip_util_pct,base_turn,base_reshuffle,base_equip,turnaround_improve_pct,reshuffle_improve_pct,equip_improve_pct
常规作业,A,16.369999999999997,7.4,58.17,16.369999999999997,7.4,58.17,0.0,0.0,0.0
常规作业,B,15.99,7.4,58.17,16.369999999999997,7.4,58.17,2.321319486866202,0.0,0.0
常规作业,C,15.459999999999999,6.410000000000001,59.7,16.369999999999997,7.4,58.17,5.55894929749541,13.37837837837837,2.6302217637957725
常规作业,D,15.89,5.4,61.4,16.369999999999997,7.4,58.17,2.9321930360415207,27.027027027027025,5.552690390235511
异常情况,A,17.18,7.4,58.17,17.18,7.4,58.17,0.0,0.0,0.0
异常情况,B,16.8,7.4,58.17,17.18,7.4,58.17,2.211874272409773,0.0,0.0
异常情况,C,16.18,6.410000000000001,59.7,17.18,7.4,58.17,5.820721769499418,13.37837837837837,2.6302217637957725
异常情况,D,16.259999999999998,5.4,61.4,17.18,7.4,58.17,5.355064027939474,27.027027027027025,5.552690390235511
高峰压力,A,16.44,7.4,58.18000000000001,16.44,7.4,58.18000000000001,0.0,0.0,0.0
高峰压力,B,16.07,7.4,58.18000000000001,16.44,7.4,58.18000000000001,2.2506082725060885,0.0,0.0
高峰压力,C,15.48,6.4,59.7,16.44,7.4,58.18000000000001,5.839416058394165,13.513513513513512,2.612581643176342
高峰压力,D,15.959999999999999,5.4,61.4,16.44,7.4,58.18000000000001,2.9197080291970936,27.027027027027025,5.534547954623567
