轮次,W1训练奖励,W2训练奖励,W1测试奖励,W2测试奖励
1,-757.6903076171875,-1459.1146240234375,-334.2132873535156,-586.6365966796875
2,-721.49072265625,-1505.340576171875,-319.98944091796875,-614.39599609375
3,-719.400390625,-1455.0889892578125,-318.7080078125,-581.5072021484375
4,-719.400390625,-1463.9857177734375,-318.7080078125,-584.0088500976562
5,-719.400390625,-1463.9857177734375,-318.7080078125,-584.0088500976562
6,-719.400390625,-1463.9857177734375,-318.7080078125,-584.0088500976562
7,-719.400390625,-1463.9857177734375,-318.7080078125,-584.0088500976562
8,-719.0748291015625,-1463.9857177734375,-318.7080078125,-584.0088500976562
9,-719.0748291015625,-1463.9857177734375,-318.7080078125,-584.0088500976562
10,-719.0748291015625,-1463.9857177734375,-318.7080078125,-584.0088500976562
11,-719.0748291015625,-1464.20703125,-318.7080078125,-584.0088500976562
12,-719.0748291015625,-1472.053955078125,-318.7080078125,-588.7496948242188
13,-719.0748291015625,-1465.1669921875,-318.7080078125,-583.9764404296875
14,-719.0748291015625,-1467.681396484375,-318.7080078125,-586.8544921875
15,-719.0748291015625,-1471.6461181640625,-318.7080078125,-587.3268432617188
16,-719.0748291015625,-1431.4998779296875,-318.7080078125,-567.2453002929688
17,-719.0748291015625,-1367.905029296875,-318.7080078125,-537.3204956054688
18,-719.0748291015625,-1358.53662109375,-318.7080078125,-526.3460693359375
19,-719.0748291015625,-1358.6287841796875,-318.7080078125,-525.3391723632812
20,-719.0748291015625,-1346.307373046875,-318.7080078125,-517.4696044921875
21,-719.0748291015625,-1294.506591796875,-318.7080078125,-487.83856201171875
22,-719.0748291015625,-1427.52001953125,-318.7080078125,-563.5248413085938
23,-720.3704223632812,-1397.082763671875,-319.9165954589844,-546.1427612304688
24,-719.5496826171875,-1410.574462890625,-319.1575622558594,-552.1529541015625
25,-719.5496826171875,-1410.8067626953125,-319.95892333984375,-554.056884765625
26,-720.3704223632812,-1428.5157470703125,-319.58172607421875,-559.1983642578125
27,-719.5496826171875,-1409.240966796875,-321.56085205078125,-551.6931762695312
28,-719.9642944335938,-1397.8001708984375,-323.12713623046875,-546.1857299804688
29,-719.9642944335938,-1310.6429443359375,-323.65155029296875,-501.3702087402344
30,-719.9642944335938,-1291.4744873046875,-323.6468505859375,-490.7378845214844
31,-719.0748291015625,-1297.2506103515625,-327.0404052734375,-500.0822448730469
32,-722.850341796875,-1237.184814453125,-325.72772216796875,-472.1771545410156
33,-720.8892211914062,-1225.466796875,-325.33331298828125,-470.6216125488281
34,-721.6990966796875,-1216.0263671875,-323.9334411621094,-463.3657531738281
35,-721.0931396484375,-1235.7572021484375,-318.93389892578125,-469.9263610839844
36,-721.864013671875,-1287.6026611328125,-318.7080078125,-496.6268005371094
37,-730.0108642578125,-1273.0556640625,-318.7080078125,-492.0022888183594
38,-731.06591796875,-1238.5616455078125,-318.7080078125,-473.249755859375
39,-728.5140380859375,-1224.317138671875,-319.08990478515625,-467.306884765625
40,-738.0506591796875,-1216.121337890625,-318.7080078125,-467.4700927734375
41,-734.2078857421875,-1187.7471923828125,-318.7080078125,-452.165283203125
42,-733.705078125,-1169.830078125,,-446.15380859375
43,-730.6871337890625,-1175.386474609375,,-449.3374328613281
44,-723.388671875,-1179.982421875,,-450.9270324707031
45,-722.4754638671875,-1187.9471435546875,,-450.568359375
46,-721.4466552734375,-1147.083740234375,,-437.01763916015625
47,-721.492431640625,-1142.0518798828125,,-432.2044982910156
48,-721.837158203125,-1136.3751220703125,,-430.80657958984375
49,-719.0748291015625,-1134.6373291015625,,-429.91357421875
50,-719.0748291015625,-1124.1290283203125,,-427.71875
