vessel,method,generation,fitness_mean,fitness_std
CNCT,GA-RH,1,0.643188,0.012601
CNCT,GA-RH,2,0.643239,0.012037
CNCT,GA-RH,3,0.655393,0.00855
CNCT,GA-RH,4,0.658277,0.007866
CNCT,GA-RH,5,0.668862,0.010428
CNCT,GA-RH,6,0.673329,0.007554
CNCT,GA-RH,7,0.666623,0.008857
CNCT,GA-RH,8,0.665159,0.009776
CNCT,GA-RH,9,0.660294,0.011653
CNCT,GA-RH,10,0.667992,0.013499
CNCT,GA-RH,11,0.662843,0.002371
CNCT,GA-RH,12,0.653605,0.005594
CNCT,GA-RH,13,0.660389,0.007517
CNCT,GA-RH,14,0.660013,0.011675
CNCT,GA-RH,15,0.656967,0.010426
CNCT,GA-RH,16,0.665958,0.011283
CNCT,GA-RH,17,0.661561,0.007089
CNCT,GA-RH,18,0.670725,0.005087
CNCT,GA-RH,19,0.672972,0.006424
CNCT,GA-RH,20,0.66656,0.006361
CNCT,GA-RH,21,0.672559,0.012032
CNCT,GA-RH,22,0.670596,0.013194
CNCT,GA-RH,23,0.669826,0.014022
CNCT,GA-RH,24,0.669964,0.012252
CNCT,GA-RH,25,0.671871,0.012962
CNCT,GA-RH,26,0.671865,0.009878
CNCT,GA-RH,27,0.673609,0.007793
CNCT,GA-RH,28,0.664816,0.010807
CNCT,GA-RH,29,0.669081,0.006226
CNCT,GA-RH,30,0.671692,0.011068
CNCT,纯GA,1,0.643188,0.012601
CNCT,纯GA,2,0.650491,0.015076
CNCT,纯GA,3,0.654768,0.010359
CNCT,纯GA,4,0.65808,0.018018
CNCT,纯GA,5,0.654676,0.01324
CNCT,纯GA,6,0.662921,0.011156
CNCT,纯GA,7,0.662234,0.007619
CNCT,纯GA,8,0.662047,0.007606
CNCT,纯GA,9,0.664477,0.016752
CNCT,纯GA,10,0.666408,0.016686
CNCT,纯GA,11,0.67455,0.016355
CNCT,纯GA,12,0.664846,0.015722
CNCT,纯GA,13,0.676087,0.019551
CNCT,纯GA,14,0.669191,0.014554
CNCT,纯GA,15,0.664436,0.011164
CNCT,纯GA,16,0.666132,0.006815
CNCT,纯GA,17,0.671783,0.012403
CNCT,纯GA,18,0.671708,0.016442
CNCT,纯GA,19,0.669448,0.011023
CNCT,纯GA,20,0.675897,0.013006
CNCT,纯GA,21,0.670043,0.010248
CNCT,纯GA,22,0.672337,0.00418
CNCT,纯GA,23,0.674358,0.008255
CNCT,纯GA,24,0.675921,0.005535
CNCT,纯GA,25,0.677372,0.006233
CNCT,纯GA,26,0.673673,0.007289
CNCT,纯GA,27,0.666174,0.012685
CNCT,纯GA,28,0.666159,0.015162
CNCT,纯GA,29,0.669302,0.016169
CNCT,纯GA,30,0.664034,0.013226
CGAMV,GA-RH,1,0.445151,0.005333
CGAMV,GA-RH,2,0.452187,0.003568
CGAMV,GA-RH,3,0.453833,0.003984
CGAMV,GA-RH,4,0.463515,0.005227
CGAMV,GA-RH,5,0.454238,0.004586
CGAMV,GA-RH,6,0.457164,0.001467
CGAMV,GA-RH,7,0.462158,0.007604
CGAMV,GA-RH,8,0.465978,0.005543
CGAMV,GA-RH,9,0.462471,0.003612
CGAMV,GA-RH,10,0.461807,0.005292
CGAMV,GA-RH,11,0.463617,0.003969
CGAMV,GA-RH,12,0.460183,0.0049
CGAMV,GA-RH,13,0.46444,0.002018
CGAMV,GA-RH,14,0.463917,0.003035
CGAMV,GA-RH,15,0.463843,0.004398
CGAMV,GA-RH,16,0.462879,0.006255
CGAMV,GA-RH,17,0.465393,0.006492
CGAMV,GA-RH,18,0.463613,0.006759
CGAMV,GA-RH,19,0.459929,0.008046
CGAMV,GA-RH,20,0.464468,0.004387
CGAMV,GA-RH,21,0.462561,0.005989
CGAMV,GA-RH,22,0.465391,0.008497
CGAMV,GA-RH,23,0.464299,0.005383
CGAMV,GA-RH,24,0.462383,0.006774
CGAMV,GA-RH,25,0.457413,0.008391
CGAMV,GA-RH,26,0.460074,0.005436
CGAMV,GA-RH,27,0.463383,0.006648
CGAMV,GA-RH,28,0.460535,0.005927
CGAMV,GA-RH,29,0.464147,0.003664
CGAMV,GA-RH,30,0.462576,0.004457
CGAMV,纯GA,1,0.445151,0.005333
CGAMV,纯GA,2,0.452454,0.003344
CGAMV,纯GA,3,0.454524,0.004354
CGAMV,纯GA,4,0.463196,0.00575
CGAMV,纯GA,5,0.456665,0.005755
CGAMV,纯GA,6,0.45729,0.002686
CGAMV,纯GA,7,0.460222,0.007353
CGAMV,纯GA,8,0.466016,0.00488
CGAMV,纯GA,9,0.461073,0.003314
CGAMV,纯GA,10,0.463789,0.003803
CGAMV,纯GA,11,0.463594,0.003903
CGAMV,纯GA,12,0.459785,0.004807
CGAMV,纯GA,13,0.464151,0.002184
CGAMV,纯GA,14,0.465715,0.009749
CGAMV,纯GA,15,0.46521,0.006202
CGAMV,纯GA,16,0.462481,0.00618
CGAMV,纯GA,17,0.463424,0.007046
CGAMV,纯GA,18,0.46446,0.006834
CGAMV,纯GA,19,0.462481,0.006823
CGAMV,纯GA,20,0.466719,0.008489
CGAMV,纯GA,21,0.462682,0.003313
CGAMV,纯GA,22,0.46527,0.0037
CGAMV,纯GA,23,0.462772,0.004712
CGAMV,纯GA,24,0.463894,0.00528
CGAMV,纯GA,25,0.461201,0.00472
CGAMV,纯GA,26,0.460226,0.005105
CGAMV,纯GA,27,0.463687,0.004312
CGAMV,纯GA,28,0.461262,0.003299
CGAMV,纯GA,29,0.463347,0.005043
CGAMV,纯GA,30,0.463391,0.003436
