vessel,n_containers,pop_size,generations,fitness,f1,f2,penalty,time_s
CNCT,795,20,20,0.677065,0.6998,0.7256,0.0302,18.5
CNCT,795,20,30,0.677065,0.6998,0.7256,0.0302,27.0
CNCT,795,20,50,0.680398,0.6974,0.7126,0.0283,44.6
CNCT,795,40,20,0.681548,0.7337,0.7032,0.0289,35.5
CNCT,795,40,30,0.681548,0.7337,0.7032,0.0289,52.9
CNCT,795,40,50,0.681548,0.7337,0.7032,0.0289,88.6
CNCT,795,60,20,0.67804,0.7539,0.6763,0.0283,53.7
CNCT,795,60,30,0.706968,0.7308,0.6971,0.0239,79.8
CNCT,795,60,50,0.706968,0.7308,0.6971,0.0239,133.0
CNCT,795,80,20,0.686885,0.6661,0.693,0.0226,71.0
CNCT,795,80,30,0.686885,0.6661,0.693,0.0226,106.9
CNCT,795,80,50,0.692537,0.753,0.6879,0.0264,176.2
CGAMV,2993,20,20,0.465863,0.5881,0.5922,0.0571,137.8
CGAMV,2993,20,30,0.478836,0.587,0.5902,0.0545,203.9
CGAMV,2993,20,50,0.478836,0.587,0.5902,0.0545,337.9
CGAMV,2993,40,20,0.465671,0.6077,0.5873,0.058,270.8
CGAMV,2993,40,30,0.471467,0.6021,0.5941,0.0566,406.6
CGAMV,2993,40,50,0.471467,0.6021,0.5941,0.0566,680.4
CGAMV,2993,60,20,0.480377,0.5977,0.5951,0.0546,408.8
CGAMV,2993,60,30,0.480377,0.5977,0.5951,0.0546,616.9
CGAMV,2993,60,50,0.485036,0.6121,0.6017,0.0556,1031.2
CGAMV,2993,80,20,0.478645,0.6138,0.5898,0.0558,545.5
CGAMV,2993,80,30,0.482512,0.6084,0.5914,0.0553,810.2
CGAMV,2993,80,50,0.482512,0.6084,0.5914,0.0553,1346.6
