window,epoch,train_loss,val_loss
W1,1,1.125,0.2543
W1,2,1.0269,0.2494
W1,3,1.0292,0.247
W1,4,1.0641,0.2429
W1,5,1.065,0.2346
W1,6,0.6735,0.2311
W1,7,0.6978,0.239
W1,8,0.4863,0.2628
W1,9,0.6314,0.2848
W1,10,0.5029,0.3095
W1,11,0.4161,0.3441
W1,12,0.3469,0.3284
W1,13,0.3278,0.312
W1,14,0.2996,0.282
W1,15,0.279,0.2817
W1,16,0.2903,0.2908
W1,17,0.2253,0.3029
W1,18,0.2172,0.293
W1,19,0.2228,0.2879
W1,20,0.2437,0.2937
W1,21,0.2094,0.2957
W1,22,0.2173,0.2927
W1,23,0.2105,0.2907
W1,24,0.2551,0.2999
W1,25,0.204,0.2992
W1,26,0.2207,0.2976
W1,27,0.2084,0.2957
W1,28,0.1714,0.2897
W1,29,0.1989,0.2915
W1,30,0.2137,0.2968
W1,31,0.173,0.308
W1,32,0.182,0.3132
W1,33,0.1789,0.3072
W1,34,0.1815,0.2978
W1,35,0.1859,0.2977
W1,36,0.1934,0.3
W2,1,1.0132,0.837
W2,2,1.0071,0.8233
W2,3,0.8194,0.7716
W2,4,0.6724,0.6762
W2,5,0.5534,0.6072
W2,6,0.4983,0.5474
W2,7,0.4908,0.4795
W2,8,0.4513,0.4244
W2,9,0.407,0.3919
W2,10,0.3601,0.3591
W2,11,0.3233,0.3505
W2,12,0.2972,0.3619
W2,13,0.2966,0.4025
W2,14,0.2679,0.4573
W2,15,0.2515,0.4666
W2,16,0.2344,0.5409
W2,17,0.2303,0.5816
W2,18,0.2205,0.6263
W2,19,0.2112,0.6066
W2,20,0.2042,0.6273
W2,21,0.1966,0.6061
W2,22,0.1963,0.5989
W2,23,0.192,0.5895
W2,24,0.1914,0.5819
W2,25,0.185,0.5916
W2,26,0.1777,0.6077
W2,27,0.173,0.5959
W2,28,0.1851,0.5821
W2,29,0.1715,0.5942
W2,30,0.1734,0.5859
W2,31,0.1817,0.583
W2,32,0.1658,0.5895
W2,33,0.1579,0.5757
W2,34,0.1683,0.577
W2,35,0.1617,0.5848
W2,36,0.1615,0.5824
W2,37,0.1571,0.5765
W2,38,0.156,0.5752
W2,39,0.1566,0.5762
W2,40,0.1533,0.5783
W2,41,0.158,0.5872
