场景,配置,船时_h,翻箱_pct,设备_pct,船时改善_pct,翻箱改善_pct,设备改善_pct,平均船数,运行轮次
常规作业,A,22.9,7.2,58.5,0.0,0.0,0.0,292.0,3
常规作业,B,22.2,7.2,58.5,2.9,0.0,0.0,292.0,3
常规作业,C,21.1,5.2,61.5,7.8,27.8,5.2,292.0,3
常规作业,D,21.1,5.2,61.5,7.8,27.8,5.2,292.0,3
高峰压力,A,22.8,7.2,58.5,0.0,0.0,0.0,779.0,10
高峰压力,B,22.1,7.2,58.5,3.1,0.0,0.0,779.0,10
高峰压力,C,21.0,5.2,61.5,7.8,27.8,5.1,779.0,10
高峰压力,D,21.0,5.2,61.5,7.8,27.8,5.1,779.0,10
异常情况,A,25.3,7.2,58.5,0.0,0.0,0.0,297.0,10
异常情况,B,24.6,7.2,58.5,2.7,0.0,0.0,297.0,10
异常情况,C,23.2,5.2,61.5,8.5,27.8,5.1,297.0,10
异常情况,D,23.2,5.2,61.5,8.5,27.8,5.1,297.0,10
